Respondent?s name ,SL,Address  ,Mahalla/village,Upazila / Thana ,Zila (district) ,Landmark (renowned structure name/ road intersection) ,Location type,Name of supervisor ,Interviewer?s name ,GPS coordinates ,Interviewer visits ,Interview start time ,Interview end time ,Interviewer ID number,Respondent  consent,Contact number ,Age,Gender,Married,Can read a bangla letter ,Education,Name of Establishment / Store / Outlet owner,Type of business,Number of day store open (Weekly),Total household member,Adult household member,Income source,Common sell item (five number),Full time worker,Business duration,Previous occupation,Major goals for business,Main barriers and challenges ,Support Type,Training Type,Ownership type ,Business located ,Property ownership,Structure type of the store,Facilities,Trade license,Number of Employee,Number of support member(Family),Number of contractual employee,Total Employee, Average number customer,Average sell per customer,Percentage of known/regular customer,Credit offer,Monthly  credit sell percentage ,Income from daily sells,Expendature from daily sells ,Agreement with statement,Monetary problem for payment,Feel safe in cash payment ,Concern about money safeness,Cash Transactions difficulty,Feel lack of capital, Need  products in stock for better business  ,Maintaining accounts type, Mainatining accounts for goods,Maintaining  household expenses,Separate household and business expenses,Supplies of goods/merchandise,Overall supplies from one point,Payment Terms by Supply Mode,Payment Terms for company distributor ,Payment Terms for company/manufacturer,Payment terms for wholesalers,Payment terms in nearby haaat,Payment terms in same/nearby area,Payment terms in others (specify),Frequency of replenish  stock/procure goods and supplies,Credit or installment payment for goods in last year,Last year taken any personal/ business loan, Pending business loans,Amounts of pending loan,Amounts of current pending business loan,Largest loan taken location, Would take loan if possible ,Access to loan,Family members have feature (phone with internet connection facility) / basic phone , Family membersÿown a smartphone with a touchscreen,Family membersÿdo not own a phone,Have Personal Phone,Type of Phone,use of personal mobile phone,Challenges  of personal mobile phone,Usees of computer(personal/business),Internet Connectivity in store computer,Frequentness of receiving stock/services from  suppliers,Frequentness of payment to  suppliers,Payment Terms to Suppliers,Problem facing on time payment,Barriers through mobile account payment for suppliers,Access to services,Distance from the store, Cost to reach  from the store, Nearest bank branch (any bank),Nearest ATM,Nearest bKash/Rocket or other digital payment agent ,"Nearest place from where send or receive money (if it is one of the above mentioned, then repeat that  information) ","Nearest place where can recharge (buy airtime or top-up) your mobile (if it is one of the above mentioned, then repeat that  information) ",Have bank account,Last use of account,Bank Name,Bank account for business activity, Use your bank account,Reaching time (minutes) in bank,Cost to reach bank,Reasons of not having a bank account,Headed mobile money,Have any MFS account,Likeness  of three things  in mobile money service,Name three things like least about mobile money service,Name of mobile money service(if available),Personal or merchant account,Name three things you like most about transferring money via your mobile money serviceÿ,Name three things you like least about transferring money via your mobile money service,Last time heared MFS,Accepted MFS from customers,From time accepted MFS, Any changes of customers from using digital MFS,Frequentness of using  merchant account (for business purpose),User friendlyness of MFS ,Reason for not accceptance MFS, Make payments any mobile payment system to your suppliers,Reason not using MFS for suppliers,Acceptancy of payment through debit/credit card ,Percentage customer who pay using card,Cash,Pays using a debit/ credit card ,Pay through mobile payment service,make time to transactions,Cash2,Pays using a debit/ credit card 3,Pay through mobile payment service4,Benefits of receiving payments through mobile payment service,Problem facing for receiving mobile payment ,Face monthly limit barrier, Payments not received because of not getting system confirmation on time,Could not receive payments because of cell phone connectivity ,Customer could not make the payment because of system problem,Customer could not make the payment because of lack of balance on mobile money account,Customer made a mistake ,Transaction was slow/resulted in long lines ,Other (specify)  ,Increase the percentage of your sales (number of customer) that is paid through mobile payment service,Not  interested because increase the percentage,Member of  an asscociation,Name of Association,How many household members are 12-years-old or youngerÿ?,Do all children ages 6 to 12 currently attend a school/educational institutionÿ?,"In the past year, did any household member ever do work for which he/she was paid on a daily basisÿ?",How many rooms does your household occupy (excluding rooms used for businessÿ)?,What is the major construction material of the walls of the main roomÿ? ,Does the household own any televisionsÿ?,How many fans does the household ownÿ?,How many mobile phones does the household ownÿ?,"Does the household own any bicycles, motorcycle/scooters, or motor cars, etcÿ.?",Does the household own (or rent/sharecrop/mortgage in or out) 51 or more decimals of cultivable agricultural land (excluding uncultivable land and dwelling ? house/homestead landÿ)? 
,11,,,,,,URBAN,,,,Visit 1,,,11,Yes,,61,Female,Yes,No,Primary Education,,Wholesale cum retail grocery shop,7,8,3,Work for someone else (Wage employment),,No,1,Other,,"Gender, ethnic and other social norms or psychological issues",,Finding and advise on equipment and technology,Partnership,Separate from resident,Own,Semi-permanent kiosk,Electricity connection,No,1,0,0,,141,38,Up to 25% customers are known,"Yes, regularly",71-80%,1607,Deposit it in a bank account,,Strongly agree,Strongly agree,Agree somewhat,Strongly disagree,Strongly agree,Disagree somewhat,Have a barcode scanner that automatically scans item and keeps accounts,Write it to my account book,No,No,Large store in same/nearby area,17,Cash,Credit,Credit,Credit,Cash,Cash,Credit,Everyday,"Yes, sometimes",Yes,No,2,73597,From friends,Disagree somewhat,Disagree somewhat,1,2,2,Yes,Smartphone,Send/Receive Email,Network connectivity problem / poor mobile service,No,"No, never",Once a month,Less than once a month,Through my bank account,I always pay on time,Takes long time,,6,37,5,5,5,3,1,One account for both- personal and business,More than 90 days ago,Mutual Trust bank ltd.,No,Mobile app/mobile banking,20,17,Registration fees and fees for using it are too high,No,No,,,Ucash,Merchant,,,In the past 90 days,No,2014,Somewhat increased,2-3 times a week,Somewhat easy,Many customers do not have a working cellphone,Yes,Supplier do not accept pyment through mobile payment system,No,No,Don?t know,71-80%,81-90%,,1858,2898,1979,It is safer than cash money,,Rarely,Rarely,"Yes, sometimes","Yes, sometimes",Rarely,Rarely,"Yes, sometimes","Yes, frequently",,Many customers do not have a working cellphone,Yes,Co-opeartive,None,No members at age 6-to-12,No,None,Brick/cement,Yes,Three or more,Two,No,Yes
,12,,,,,,URBAN,,,,Visit 1,,,12,Yes,,35,Female,Yes,No,Primary Education,,Variety/General store,3,8,3,Receive money from migrant family members (Remittances),,Yes,9,Other,,Tax rates and state fees,,Lobbying and protection of interests,Family business,Separate from resident,Rent,Small room of pucca construction < 100 sqmts,Internet connection,No,2,2,0,,234,42,Between 51 - 75% customers are known,"Yes, regularly",0%,2308,Deposit it in a bKash/Rocket or any other mobile money account,,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Strongly agree,Write it to my account book,I keep my accounts by remembering,No,No,Large store in same/nearby area,8,Cash & Credit both,Cash & Credit both,Cash & Credit both,Cash,Cash & Credit both,Cash & Credit both,Credit,Everyday,Rarely,No,Yes,2,7219,From a village Level savings Group,Strongly disagree,Strongly disagree,3,3,3,Yes,Feature/basic/camera phone,Send/Receive Email,Network connectivity problem / poor mobile service,No,"No, never",2-3 times a week,Less than once a month,Cash,Other,Fee is too high,,7,12,2,1,5,4,5,One account for both- personal and business,More than 90 days ago,Mutual Trust bank ltd.,Yes,Mobile app/mobile banking,34,34,I like to transact in cash,No,Yes,,,bKash,Merchant,,,In the past 30 days,No,2012,Highly increased,Daily,Difficult,Other,Yes,Supplier do not accept pyment through mobile payment system,No,No,81-90%,61-70%,Don?t know,,1940,1480,625,It is convenient,,Rarely,"Yes, frequently","Yes, frequently","Yes, sometimes","Yes, sometimes","Yes, frequently","Yes, frequently","Yes, frequently",,Many customers do not have a working cellphone,No,Micro-credit group,One,No,No,One,Brick/cement,Yes,Two,Three or more,Yes,Yes
,13,,,,,,URBAN,,,,Visit 1,,,13,Yes,,32,Male,Yes,No,Secondary Vocational Training complete/ certificate complete,,Retail grocery shop,5,8,4,Receive money from migrant family members (Remittances),,No,5,Job/Paid employment,,Tax rates and state fees,,Technical training,Single proprietorship,Separate from resident,Own,Semi-permanent kiosk,Electronic Cash register,No,2,2,3,,131,58,Up to 25% customers are known,"Yes, regularly",Don?t know,2684,Deposit it in a bank account,,Agree somewhat,Disagree somewhat,Agree somewhat,Strongly disagree,Strongly disagree,Agree somewhat,Have a barcode scanner that automatically scans item and keeps accounts,I keep my accounts by remembering,No,Yes,Others,10,Credit,Cash,Credit,Credit,Cash & Credit both,Cash & Credit both,Credit,4-6 days a week,"Yes, sometimes",No,No,4,,"From a bank, post office or microfinance institution",Agree somewhat,Agree somewhat,3,3,1,Yes,Smartphone,Use bKash mobile money transactions,Do not face any problems,No,"No, never",Once a week,Once a month,Cash,I always pay on time,Takes long time,,10,45,2,3,0,0,2,One account for both- personal and business,In the past 90 days,Eastern bank ltd.,Yes,Banks' website/online banking,14,27,I do not believe that my money will be safe in a bank,Yes,Yes,,,SureCash,Personal,,,In the past 90 days,No,2012,About the same,Daily,Very easy,My phone or phone network is not working properly,No,Others,Yes,Yes,81-90%,Don?t know,31-40%,,41,4847,505,Other,,"Yes, frequently","Yes, sometimes","No, never","Yes, sometimes","Yes, sometimes","No, never",Rarely,"No, never",,Many customers do not have a MFS account,No,Village level association (Informal),One,Yes,Yes,Three or more,Brick/cement,No,None,None,No,Yes
,14,,,,,,RURAL,,,,Visit 2,,,14,No,,61,Male,No,Yes,University Degree,,Wholesale cum retail grocery shop,1,7,4,Others,,Yes,9,Other,,Not applicable,,Hard to say,Partnership,Attached with residence,Rent,Small room of pucca construction < 100 sqmts,Business Cellphone (separate from owner?s personal),No,2,3,0,,233,87,Between 76% - 100% customers are known,"Yes, regularly",61-70%,2554,Don't have any money left at the end of the day,,Agree somewhat,Strongly disagree,Agree somewhat,Agree somewhat,Disagree somewhat,Strongly agree,I keep my accounts by remembering,Have a barcode scanner that automatically scans item and keeps accounts,No,Yes,Large store in same/nearby area,11,Cash & Credit both,Cash,Credit,Credit,Credit,Cash,Credit,2-3 days a week,Rarely,Yes,No,5,5236,"From a bank, post office or microfinance institution",Disagree somewhat,Strongly disagree,3,3,1,No,,Send/Receive SMS Text messages,Ran out of balance (airtime),Yes,Rarely,Once a month,Once a month,Cash,I always pay on time,Suppliers do not always have a mobile money account,,4,37,3,0,1,3,1,One account for both- personal and business,In the past 30 days,United Commercial bank,Yes,Mobile app/mobile banking,25,45,I have to pay tax,Yes,Yes,,,Rocket (DBBL),Merchant,,,In the past 30 days,Yes,2015,Highly increased,2-3 times a month,Somewhat easy,I do not trust it,Yes,Supplier do not accept pyment through mobile payment system,No,Yes,61-70%,Don?t know,41-50%,,594,4619,1647,It is convenient,,Rarely,Rarely,"Yes, frequently",Rarely,"Yes, sometimes","Yes, frequently","Yes, frequently","No, never",,Monthly transaction limits are too low,Yes,Business association,Three or more,No members at age 6-to-12,No,One,Mud brick or C.I. sheet/wood,Yes,One,Three or more,Yes,No
,15,,,,,,RURAL,,,,Visit 2,,,15,No,,21,Female,No,Yes,Others,,Cosmetic store,2,5,2,Work in your own activity and you are your own boss (Self-employment)/ Business,,No,3,Farming/agriculture,,Tax rates and state fees,,Business plan writing,Single proprietorship,Attached with residence,Own,Kutcha shack,Electronic Cash register,Yes,2,2,3,,101,50,Between 26 - 50% customers are known,"No, never",71-80%,1486,Don't have any money left at the end of the day,,Agree somewhat,Strongly agree,Strongly agree,Disagree somewhat,Strongly agree,Strongly agree,Write it to my account book,I keep my accounts by remembering,Yes,Yes,Directly from the company/manufacturer,8,Cash,Cash,Cash & Credit both,Credit,Cash,Credit,Cash,2-3 days a week,"Yes, sometimes",No,No,2,,From a village Level savings Group,Strongly disagree,Strongly disagree,3,1,3,Yes,Smartphone,Others,Do not face any problems,No,"No, never",Less than once a month,Once a month,Through my bank account,I always pay on time,Other,,6,21,3,5,4,0,1,One account for both- personal and business,Yesterday,Jamuna bank,Yes,Other,45,31,I have to pay tax,Yes,Yes,,,MCash,Personal,,,In the past 30 days,Yes,2013,Highly increased,Once a week,Somewhat difficult,Monthly transaction limits are too low,No,High charge,No,No,11-20%,91-100%,61-70%,,479,1773,695,Shorter lines/ customers have to wait less time,,"Yes, sometimes","Yes, sometimes","No, never","No, never","Yes, sometimes","No, never","No, never","No, never",,Customers do not have trust on MFS acccount,No,Co-opeartive,Two,No members at age 6-to-12,Yes,Two,"Hemp/hay/bamboo, or other",Yes,None,One,No,Yes
,16,,,,,,URBAN,,,,Visit 1,,,16,Yes,,51,Male,Yes,Yes,Madrasha Education,,Conrfectionery,6,8,3,Work in your own activity and you are your own boss (Self-employment)/ Business,,No,3,Farming/agriculture,,Tax rates and state fees,,Technical training,Partnership,Separate from resident,Other,Semi pucca shack,Electricity connection,Yes,2,0,3,,188,39,Between 26 - 50% customers are known,Rarely,51-60%,2025,Deposit it in Co-operative,,Strongly agree,Disagree somewhat,Disagree somewhat,Agree somewhat,Strongly disagree,Strongly agree,Manually enter in the computer,I keep my accounts by remembering,Yes,No,Large store in nearby haaat,18,Cash,Cash & Credit both,Credit,Cash,Cash,Cash,Cash & Credit both,2-3 days a week,Rarely,No,Yes,2,14974,From a village Level savings Group,Disagree somewhat,Disagree somewhat,2,3,1,Yes,Feature/basic/camera phone,Others,Phone runs out of battery,Yes,"Yes, sometimes",Once a month,2-3 times a week,Mobile payment service,Other,Takes long time,,6,22,3,3,5,2,1,Business account,More than 90 days ago,Dhaka bank,Yes,Other,58,40,Registration fees and fees for using it are too high,Yes,No,,,MCash,Personal,,,In the past 90 days,No,2015,Don?t know/refuse,Once a week,Difficult,Monthly transaction limits are too low,Yes,Fear of hacking,No,No,21-30%,11-20%,81-90%,,1243,946,1364,It offers campaigns and discounts for customers,,"Yes, sometimes","No, never",Rarely,"No, never",Rarely,"Yes, frequently","No, never","No, never",,I need cash money to run my business,Yes,Business association,Two,No members at age 6-to-12,No,Three or more,Mud brick or C.I. sheet/wood,No,Three or more,None,No,No
,17,,,,,,URBAN,,,,Visit 1,,,17,No,,39,Male,Yes,No,Not Formal Education,,Wholesale cum retail grocery shop,4,8,4,Others,,Yes,16,Other,,Tax rates and state fees,,Lobbying and protection of interests,Family business,Separate from resident,Other,Permanent kiosk,Business Cellphone (separate from owner?s personal),Yes,2,1,2,,117,27,Between 51 - 75% customers are known,"No, never",81-90%,1586,#VALUE!,,Strongly agree,Strongly agree,Agree somewhat,Strongly agree,Strongly agree,Disagree somewhat,Manually enter in the computer,Write it to my account book,No,Yes,Large store in same/nearby area,16,Credit,Credit,Cash & Credit both,Credit,Cash & Credit both,Cash & Credit both,Cash & Credit both,2-3 days a week,Rarely,No,Yes,5,95027,From a village Level savings Group,Agree somewhat,Strongly disagree,1,2,1,No,,Send/Receive SMS Text messages,Phone runs out of battery,Yes,"No, never",Less than once a month,Less than once a month,Cash,Sometimes have to ask for more time or for a loan,Suppliers do not always have a mobile money account,,4,26,1,1,0,3,3,One account for both- personal and business,More than 90 days ago,ShahjalalIslami bank ltd.,No,Mobile app/mobile banking,45,14,Others,Yes,Yes,,,MYCash,Personal,,,In the past 90 days,Yes,2016,About the same,Once a month,Very easy,It takes too long for transaction /results to long lines,Yes,Supplier do not accept pyment through mobile payment system,Yes,No,31-40%,11-20%,71-80%,,679,4323,1752,Shorter lines/ customers have to wait less time,,"No, never","No, never",Rarely,"Yes, sometimes","No, never","Yes, frequently","Yes, frequently",Rarely,,It takes too long for transaction /results to long lines,No,Village level association (Informal),Two,No,No,Two,Mud brick or C.I. sheet/wood,Yes,Three or more,Three or more,No,Yes
,18,,,,,,URBAN,,,,Visit 2,,,18,Yes,,29,Female,No,Yes,Not Formal Education,,Conrfectionery,1,7,4,Pension,,No,20,Other,,"Gender, ethnic and other social norms or psychological issues",,Lobbying and protection of interests,Family business,Attached with residence,Other,Semi pucca shack,Electronic Cash register,No,1,1,2,,183,22,Don't know,"Yes, regularly",41-50%,2983,Keep it at store,,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Strongly disagree,Strongly agree,Have a barcode scanner that automatically scans item and keeps accounts,Manually enter in the computer,Yes,Yes,Company distributor,11,Cash & Credit both,Cash,Cash,Credit,Cash & Credit both,Cash,Cash,2-3 days a week,Rarely,Yes,Yes,4,85778,"From a bank, post office or microfinance institution",Disagree somewhat,Strongly disagree,3,1,2,Yes,Smartphone,Send/Receive Email,Phone not working properly (other than connectivity issues),Yes,"Yes, frequently",Once a week,Once a month,Mobile payment service,Often have to ask for more time or for a loan,Suppliers do not  want to receive payments through mobile money account,,2,46,2,1,2,4,4,Business account,More than 90 days ago,EXIM bank,No,Banks' website/online banking,23,44,I do not need a bank account,No,Yes,,,Ucash,Personal,,,Yesterday,Yes,2012,Highly decreased,2-3 times a week,Very easy,It takes too long for transaction /results to long lines,No,Others,Yes,Yes,Don?t know,31-40%,41-50%,,278,964,1210,Shorter lines/ customers have to wait less time,,Rarely,"Yes, sometimes",Rarely,"Yes, frequently","No, never","Yes, sometimes",Rarely,"No, never",,The service is not reliable,No,Village level association (Informal),One,No,No,Three or more,Mud brick or C.I. sheet/wood,Yes,Three or more,One,No,No
,19,,,,,,RURAL,,,,Visit 1,,,19,No,,42,Female,Yes,No,Primary Education,,Variety/General store,3,5,3,No Response,,Yes,14,Farming/agriculture,,Hard to say,,Network,Family business,Attached with residence,Other,Large room(s) of pucca construction >100 sqmts,Business Cellphone (separate from owner?s personal),Yes,3,3,1,,148,82,Don't know,"Yes, sometimes",1-10%,2132,Deposit it in Co-operative,,Strongly agree,Strongly disagree,Agree somewhat,Strongly agree,Disagree somewhat,Disagree somewhat,Write it to my account book,Manually enter in the computer,No,No,Large store in nearby haaat,20,Cash,Cash & Credit both,Cash & Credit both,Cash,Cash & Credit both,Cash,Credit,Everyday,Rarely,No,Yes,3,12823,From friends,Strongly disagree,Strongly disagree,1,1,2,No,,Transfer phone credit,"Phone runs out of storage (space for saving picture, apps and other information)",No,"Yes, sometimes",Less than once a month,2-3 times a week,Mobile payment service,Other,Fee is too high,,8,36,1,4,2,2,4,Business account,Yesterday,Standard Chartered bank,No,Banks' website/online banking,7,43,I like to transact in cash,No,Yes,,,MYCash,Merchant,,,In the past 7 days,Yes,2012,Somewhat increased,2-3 times a month,Somewhat difficult,Other,Yes,Others,Yes,Yes,91-100%,0%,41-50%,,1433,1448,940,It offers campaigns and discounts for customers,,"No, never",Rarely,"No, never",Rarely,Rarely,Rarely,"No, never","Yes, sometimes",,It's difficult to get cash out from my balance,No,Co-opeartive,None,Yes,No,Two,Brick/cement,Yes,Three or more,One,Yes,Yes
,20,,,,,,RURAL,,,,Visit 2,,,20,No,,50,Female,No,No,Not Formal Education,,Other (Specify),3,6,2,Receive money from migrant family members (Remittances),,Yes,12,Job/Paid employment,,Not applicable,,Network,Family business,Separate from resident,Own,Large room(s) of pucca construction >100 sqmts,Computer,No,3,2,0,,198,69,Don't know,"No, never",Don?t know,2701,Don?t know,,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Strongly agree,Do not keep accounts daily,Manually enter in the computer,No,Yes,Large store in nearby haaat,5,Cash,Cash & Credit both,Cash,Cash,Credit,Credit,Credit,Everyday,Rarely,No,Yes,3,5505,From a village Level savings Group,Strongly disagree,Agree somewhat,3,3,3,No,,Browse the internet,Phone not working properly (other than connectivity issues),No,"No, never",Less than once a month,Once a month,Mobile payment service,Often have to ask for more time or for a loan,It's difficult/inconvenient to use,,9,28,1,4,2,2,2,One account for both- personal and business,In the past 7 days,Janata bank,No,Mobile app/mobile banking,29,48,I like to transact in cash,Yes,No,,,MYCash,Personal,,,Yesterday,Yes,2015,Highly decreased,Daily,Difficult,Monthly transaction limits are too low,No,Do not know how to make payment through mobile phone,Yes,No,31-40%,81-90%,31-40%,,459,3613,703,Other,,"Yes, sometimes","No, never","Yes, frequently","No, never","No, never","Yes, sometimes","Yes, frequently","Yes, sometimes",,My phone or phone network is not working properly,Yes,Others,Three or more,No members at age 6-to-12,Yes,Three or more,"Hemp/hay/bamboo, or other",No,None,Three or more,No,No
,21,,,,,,URBAN,,,,Visit 2,,,21,No,,64,Female,Yes,Yes,Post-Graduate University,,Retail grocery shop,7,8,1,Work for someone else (Wage employment),,Yes,9,Farming/agriculture,,"Gender, ethnic and other social norms or psychological issues",,"Legal support, Issues related registering and licensing of business",Single proprietorship,Separate from resident,Rent,Small room of pucca construction < 100 sqmts,Land phone line,Yes,1,1,0,,187,10,Up to 25% customers are known,"Yes, sometimes",Don?t know,1995,Give it to someone for safekeeping,,Agree somewhat,Strongly agree,Disagree somewhat,Agree somewhat,Strongly disagree,Strongly disagree,Write it to my account book,Manually enter in the computer,Yes,Yes,Directly from the company/manufacturer,18,Cash,Credit,Cash,Credit,Cash & Credit both,Credit,Cash,Everyday,Rarely,Yes,Yes,3,43511,From a village Level savings Group,Agree somewhat,Disagree somewhat,3,3,2,No,,Send/Receive Email,Phone not working properly (other than connectivity issues),No,"Yes, sometimes",2-3 times a week,Once a week,Other,I always pay on time,Other,,10,24,3,5,0,4,0,One account for both- personal and business,In the past 7 days,Mercentile bank ltd.,No,Other,10,29,Others,Yes,Yes,,,Ucash,Personal,,,In the past 30 days,No,2012,Highly decreased,2-3 times a month,Difficult,My phone or phone network is not working properly,No,Supplier do not accept pyment through mobile payment system,Yes,No,31-40%,1-10%,61-70%,,1079,2486,673,Shorter lines/ customers have to wait less time,,"Yes, sometimes",Rarely,Rarely,"No, never","Yes, frequently","Yes, frequently",Rarely,"Yes, frequently",,It takes too long for transaction /results to long lines,No,Village level association (Informal),None,No,No,None,Mud brick or C.I. sheet/wood,No,One,Three or more,No,Yes
,22,,,,,,RURAL,,,,Visit 1,,,22,No,,25,Male,Yes,Yes,Secondary Vocational Training complete/ certificate complete,,Variety/General store,4,6,5,Pension,,No,8,Other,,Poor physical infrastructure,,Hard to say,Partnership,Separate from resident,Own,Semi-permanent kiosk,Business Cellphone (separate from owner?s personal),No,0,0,3,,108,64,Up to 25% customers are known,Rarely,31-40%,2958,Spend it immediately for personal expenses,,Agree somewhat,Strongly agree,Strongly agree,Strongly agree,Disagree somewhat,Strongly disagree,Have a barcode scanner that automatically scans item and keeps accounts,Manually enter in the computer,No,No,Directly from the company/manufacturer,10,Credit,Cash & Credit both,Cash,Cash & Credit both,Cash,Cash,Credit,Everyday,"No, never",No,Yes,4,89169,From friends,Strongly disagree,Agree somewhat,3,3,3,Yes,Feature/basic/camera phone,Use bKash mobile money transactions,Phone runs out of battery,No,"Yes, frequently",Less than once a month,Once a month,Mobile payment service,Often have to ask for more time or for a loan,Takes long time,,6,34,5,0,4,1,0,Personal account,In the past 7 days,Mutual Trust bank ltd.,No,Mobile app/mobile banking,28,22,Registration fees and fees for using it are too high,Yes,Yes,,,MYCash,Personal,,,More than 90 days ago,Yes,2017,About the same,2-3 times a week,Somewhat difficult,Many customers do not have money in their MFS account,No,High charge,Yes,No,91-100%,21-30%,51-60%,,1211,961,263,It is safer than cash money,,"No, never","Yes, sometimes","No, never","No, never","Yes, frequently",Rarely,"Yes, frequently","Yes, sometimes",,My phone or phone network is not working properly,No,Micro-credit group,None,Yes,No,One,Mud brick or C.I. sheet/wood,Yes,None,Three or more,No,No
,23,,,,,,URBAN,,,,Visit 2,,,23,Yes,,63,Male,No,Yes,Secondary Vocational Training complete/ certificate complete,,Wholesale cum retail grocery shop,3,6,3,Others,,No,12,Other,,"Insufficient knowledge, information, business experience",,Hard to say,Single proprietorship,Attached with residence,Rent,Small room of pucca construction < 100 sqmts,Internet connection,No,2,2,2,,158,39,Between 51 - 75% customers are known,"Yes, regularly",21-30%,428,Don?t know,,Disagree somewhat,Disagree somewhat,Disagree somewhat,Strongly disagree,Strongly agree,Agree somewhat,Have a barcode scanner that automatically scans item and keeps accounts,Manually enter in the computer,No,No,Others,20,Credit,Cash & Credit both,Cash,Cash & Credit both,Credit,Cash & Credit both,Credit,Everyday,Rarely,Yes,No,4,8904,From a village Level savings Group,Agree somewhat,Strongly disagree,2,3,1,No,,Others,"Phone runs out of storage (space for saving picture, apps and other information)",No,"Yes, sometimes",Once a month,2-3 times a month,Other,Sometimes have to ask for more time or for a loan,Fee is too high,,3,28,0,5,1,4,3,One account for both- personal and business,Yesterday,Bangladesh Krishi bank,No,Banks' website/online banking,44,20,I do not believe that my money will be safe in a bank,Yes,Yes,,,bKash,Personal,,,Yesterday,No,2014,Highly increased,2-3 times a month,Somewhat easy,The service is not reliable,No,Do not know how to make payment through mobile phone,Yes,No,41-50%,21-30%,21-30%,,601,2933,1970,It helps the store?s marketing or attracts more customers,,"Yes, sometimes",Rarely,"Yes, sometimes",Rarely,Rarely,"Yes, frequently",Rarely,"No, never",,Many customers do not have a MFS account,No,Village level association (Informal),One,No members at age 6-to-12,Yes,None,"Hemp/hay/bamboo, or other",Yes,Two,None,Yes,No
,24,,,,,,RURAL,,,,Visit 1,,,24,Yes,,29,Male,Yes,No,Primary Education,,Retail grocery shop,5,5,3,Receive money from migrant family members (Remittances),,Yes,17,Farming/agriculture,,Access to finance,,Technical training,Single proprietorship,Separate from resident,Own,Semi pucca shack,Electronic Cash register,Yes,3,1,1,,289,52,Don't know,Rarely,21-30%,1923,Keep it at store,,Strongly disagree,Disagree somewhat,Strongly agree,Disagree somewhat,Agree somewhat,Strongly disagree,Have a barcode scanner that automatically scans item and keeps accounts,Write it to my account book,No,Yes,Wholesaler in wholesale market,13,Cash & Credit both,Credit,Cash,Cash & Credit both,Cash,Cash & Credit both,Cash,4-6 days a week,Rarely,No,Yes,1,18696,From friends,Disagree somewhat,Strongly disagree,1,1,2,Yes,Feature/basic/camera phone,Made/receive calls,"Phone runs out of storage (space for saving picture, apps and other information)",Yes,"Yes, sometimes",Once a month,2-3 times a week,Through my bank account,Sometimes have to ask for more time or for a loan,Suppliers do not always have a mobile money account,,7,37,5,1,3,2,4,Personal account,In the past 30 days,Social Islami bank ltd.,No,Banks' website/online banking,22,50,There are no banks nearby my residence,No,Yes,,,SureCash,Merchant,,,In the past 90 days,Yes,2016,Somewhat decreased,Daily,Difficult,The service is not reliable,Yes,Supplier do not accept pyment through mobile payment system,No,Yes,21-30%,0%,31-40%,,1118,1968,116,It is convenient,,"Yes, sometimes","Yes, sometimes","No, never",Rarely,Rarely,"No, never","No, never","Yes, frequently",,I do not trust it,No,Micro-credit group,One,No,Yes,None,"Hemp/hay/bamboo, or other",No,Two,None,Yes,Yes
